food,cal,calFromFat,totFat,totFatDV,totCarb,totCarbDV,satFat,satFatDV,dietaryFiber,dietaryFiberDV,transFat,transFatDV,sugars,sugarsDV,cholesterol,cholesterolDV,protein,proteinDV,sodium,sodiumDV,allergens,price
Texas BBQ Style ,197,104,11.5,30,19,,2.6,13,0,0,0,,10.8,8,14.7,,2.9,,539,23,"Vegetarian, Contains Dairy, Contains Soy, Contains Wheat, Contains Gluten, Sustainability, Vegetarian, Contains Dairy, Contains Soy, Contains Wheat, Sustainability, ",$8.00
Triton Style ,23,1,0.1,0,5.1,,0,0,1.2,4,0,,2.4,2,0,,0.9,,92.8,4,"Vegan, Sustainability, Vegan, Sustainability, ",$7.00
4 Cheese Personal Pizza ,686,250,27.7,73,81.3,,12,60,0,0,0,,5.9,5,56.5,,32.4,,1667.8,73,"Vegetarian, Contains Dairy, Contains Soy, Contains Wheat, Contains Gluten, Sustainability, Vegetarian, Contains Dairy, Contains Soy, Contains Wheat, Sustainability, ",$6.50
Personal Pepperoni Pizza ,679,275,30.5,80,76.9,,9.3,46,0,0,0,,3,2,45.1,,30.6,,1467.9,64,"Contains Dairy, Contains Soy, Contains Wheat, Contains Gluten, Contains Dairy, Contains Soy, Contains Wheat, ",$8.00
Personal Pizza Roasted Vegetables ,760,257,28.5,75,95.3,,7,35,2.9,10,0,,8,6,30.6,,34.1,,1914.6,83,"Vegetarian, Contains Dairy, Contains Soy, Contains Wheat, Contains Gluten, Sustainability, Vegetarian, Contains Dairy, Contains Soy, Contains Wheat, Sustainability, ",$6.50
F1 ,197,5,0.5,1,48.2,,0.1,0,8.6,29,0,,32.3,25,0,,2.7,,2553.7,111,"Vegan, Sustainability, Vegan, Sustainability, ",$7.50
F4 ,275,124,13.7,36,36.5,,4.4,22,5,17,0,,25.2,19,0,,6.3,,43.5,2,"Vegan, Wellness, Sustainability, Vegan, Wellness, Sustainability, ",$7.50
F5 ,235,7,0.7,2,58.4,,0.1,0,6.3,21,0,,46.3,36,0,,3.1,,417.4,18,"Vegan, Sustainability, Vegan, Sustainability, ",$7.50
Chicken Tenders ,640,403,44.7,118,32.2,,6.2,31,2,7,2.1,,2,2,55.4,,28.2,,1057.2,46,"Contains Wheat, Contains Gluten, Contains Wheat, ",$6.00
Curly Fries ,292,123,13.6,36,36.5,,2.4,12,4.1,14,0,,2,2,0,,4.1,,595.4,26,"Vegan, Contains Soy, Contains Wheat, Contains Gluten, Sustainability, Vegan, Contains Soy, Contains Wheat, Sustainability, ",$3.00
French Fries ,322,150,16.7,44,36.9,,2.5,13,0,0,0,,1.8,1,0,,3.7,,663.4,29,"Vegan, Contains Soy, Sustainability, Vegan, Contains Soy, Sustainability, ",$3.00
Marinated Chicken Breast ,221,68,7.5,20,0.3,,1.4,7,0.1,0,0,,0,0,96.6,,35.3,,190.4,8,"Wellness, Wellness, ",$5.50
Serrano Pesto Grilled Vegetables ,101,76,8.4,22,6.3,,0.9,5,2.4,8,0,,2.1,2,1.7,,2.8,,544.3,24,"Vegetarian, Contains Dairy, Sustainability, Vegetarian, Contains Dairy, Sustainability, ",$3.00
Hawaiian Mac Salad ,111,58,6.4,17,11.3,,1,5,0.6,2,0,,0.9,1,3.6,,2,,86.3,4,"Vegetarian, Contains Dairy, Contains Soy, Contains Wheat, Contains Eggs, Contains Gluten, Sustainability, Vegetarian, Contains Dairy, Contains Soy, Contains Wheat, Contains Eggs, Sustainability, ",$2.50
Jasmine Rice ,147,3,0.3,1,31.9,,0.1,0,0.5,2,0,,0.1,0,0,,3.1,,1.1,0,"Vegan, Wellness, Sustainability, Vegan, Wellness, Sustainability, ",$1.50
Mango Coleslaw ,90,43,4.7,12,11.9,,0.4,2,1.7,6,0,,9.2,7,0,,1.2,,377.8,16,"Vegetarian, Sustainability, Vegetarian, Sustainability, ",$2.50
Ube Cookie ,260,16,1.8,5,56.4,,0.9,5,1.3,4,0,,31.2,24,17.2,,3.8,,102.3,4,"Vegetarian, Contains Dairy, Contains Wheat, Contains Eggs, Contains Gluten, Vegetarian, Contains Dairy, Contains Wheat, Contains Eggs, ",$2.00
Ube Mini Cake ,457,176,19.6,51,66.4,,2.5,12,1.7,6,0,,38.9,30,53.9,,5.3,,434.6,19,"Vegetarian, Contains Dairy, Contains Wheat, Contains Eggs, Contains Gluten, Sustainability, Vegetarian, Contains Dairy, Contains Wheat, Contains Eggs, Sustainability, ",$2.00
Ube Mini Cake ,457,176,19.6,51,66.4,,2.5,12,1.7,6,0,,38.9,30,53.9,,5.3,,434.6,19,,
Ube Mini Cake ,457,176,19.6,51,66.4,,2.5,12,1.7,6,0,,38.9,30,53.9,,5.3,,434.6,19,,
Ube Mini Cake ,457,176,19.6,51,66.4,,2.5,12,1.7,6,0,,38.9,30,53.9,,5.3,,434.6,19,,
