Food,Calories,Calories from Fat,Tot. Fat,%DV,Tot. Carb,%DV,Sat. Fat,%DV,Dietary Fiber,%DV,Trans Fat,%DV,Sugars,%DV,Cholesterol,%DV,Protein,%DV,Sodium,%DV,Allergens
Blackened Tofu Steak Plate ,474,159,Total Fat 17.7g,47,Tot. Carb. 58.1g,,Sat. Fat 2.2g,11%,Dietary Fiber 5.8g,19,Trans Fat 0g,,Sugars 19.1g,15,Cholesterol 0mg,,Protein 21g,,Sodium 1337.7mg,58,"Soybeans, Sesame"
Hale'iwa BBQ Ribs Plates ,871,441,Total Fat 48.8g,129,Tot. Carb. 58.2g,,Sat. Fat 16.8g,84%,Dietary Fiber 2.5g,8,Trans Fat 0g,,Sugars 28.6g,22,Cholesterol 178.4mg,,Protein 46.6g,,Sodium 1083.7mg,47,
Huli Huli Chicken Plate ,429,126,Total Fat 14g,37,Tot. Carb. 43.8g,,Sat. Fat 2.9g,14%,Dietary Fiber 2.8g,9,Trans Fat 0g,,Sugars 11.3g,9,Cholesterol 143.5mg,,Protein 30.3g,,Sodium 652.1mg,28,"Soybeans, Sesame"
Hawaiian Mac Salad ,442,231,Total Fat 25.6g,67,Tot. Carb. 45.3g,,Sat. Fat 3.9g,19%,Dietary Fiber 2.4g,8,Trans Fat 0.1g,,Sugars 3.7g,3,Cholesterol 14.2mg,,Protein 7.9g,,Sodium 345mg,15,"Milk, Eggs, Wheat, Soybeans, Gluten"
Jasmine Rice ,147,3,Total Fat 0.3g,1,Tot. Carb. 31.9g,,Sat. Fat 0.1g,0%,Dietary Fiber 0.5g,2,Trans Fat 0g,,Sugars 0.1g,0,Cholesterol 0mg,,Protein 3.1g,,Sodium 1.1mg,0,
Mango Coleslaw ,90,43,Total Fat 4.7g,12,Tot. Carb. 11.9g,,Sat. Fat 0.4g,2%,Dietary Fiber 1.7g,6,Trans Fat 0g,,Sugars 9.2g,7,Cholesterol 0mg,,Protein 1.2g,,Sodium 377.8mg,16,
Ube Cookie ,260,16,Total Fat 1.8g,5,Tot. Carb. 56.4g,,Sat. Fat 0.9g,5%,Dietary Fiber 1.3g,4,Trans Fat 0g,,Sugars 31.2g,24,Cholesterol 17.2mg,,Protein 3.8g,,Sodium 102.3mg,4,"Milk, Eggs, Wheat, Gluten"
Ube Mini Cake ,457,176,Total Fat 19.6g,51,Tot. Carb. 66.4g,,Sat. Fat 2.5g,12%,Dietary Fiber 1.7g,6,Trans Fat 0g,,Sugars 38.9g,30,Cholesterol 53.9mg,,Protein 5.3g,,Sodium 434.6mg,19,"Milk, Eggs, Wheat, Gluten"
Blackened Tofu Sandwich ,808,547,Total Fat 60.6g,159,Tot. Carb. 46.9g,,Sat. Fat 7.8g,39%,Dietary Fiber 6g,20,Trans Fat 0g,,Sugars 6.9g,5,Cholesterol 16.8mg,,Protein 23.1g,,Sodium 600.2mg,26,"Eggs, Wheat, Soybeans, Gluten"
Capicola & Ham Sandwich ,668,366,Total Fat 40.5g,107,Tot. Carb. 41.3g,,Sat. Fat 13.2g,66%,Dietary Fiber 2.7g,9,Trans Fat 0g,,Sugars 4.3g,3,Cholesterol 87.9mg,,Protein 33.8g,,Sodium 1936.7mg,84,"Milk, Eggs, Wheat, Soybeans, Gluten"
Chicken Club Sandwich ,514,272,Total Fat 30.1g,79,Tot. Carb. 45.9g,,Sat. Fat 6g,30%,Dietary Fiber 1.5g,5,Trans Fat 0g,,Sugars 8.2g,6,Cholesterol 26.1mg,,Protein 17.5g,,Sodium 1269.5mg,55,"Tree Nuts, Wheat, Soybeans, Gluten"
