Food,Calories,Calories from Fat,Tot. Fat,%DV,Tot. Carb,%DV,Sat. Fat,%DV,Dietary Fiber,%DV,Trans Fat,%DV,Sugars,%DV,Cholesterol,%DV,Protein,%DV,Sodium,%DV,Allergens
Bacon Breakfast Burrito ,1005,481,Total Fat 53.3g,140,Tot. Carb. 85.9g,,Sat. Fat 23.2g,116%,Dietary Fiber 14.3g,48,Trans Fat 0.5g,,Sugars 8.1g,6,Cholesterol 296.2mg,,Protein 49.9g,,Sodium 2454.5mg,107,"Milk, Eggs, Wheat, Soybeans, Gluten"
Bacon Breakfast Sandwich ,529,310,Total Fat 34.4g,90,Tot. Carb. 24.7g,,Sat. Fat 12.1g,60%,Dietary Fiber 3.8g,13,Trans Fat 0.5g,,Sugars 5.7g,4,Cholesterol 273.3mg,,Protein 29.4g,,Sodium 1200.3mg,52,"Milk, Eggs, Wheat, Soybeans, Gluten"
Bacon Egg Bowl ,595,394,Total Fat 43.7g,115,Tot. Carb. 16.7g,,Sat. Fat 19.6g,98%,Dietary Fiber 0.8g,3,Trans Fat 0.5g,,Sugars 7.3g,6,Cholesterol 296.2mg,,Protein 33.8g,,Sodium 1439.3mg,63,"Milk, Eggs, Soybeans"
Breakfast Burrito ,726,282,Total Fat 31.2g,82,Tot. Carb. 85.2g,,Sat. Fat 15.9g,80%,Dietary Fiber 14.3g,48,Trans Fat 0.5g,,Sugars 8.1g,6,Cholesterol 241.6mg,,Protein 31.7g,,Sodium 1336.1mg,58,"Milk, Eggs, Wheat, Soybeans, Gluten"
Egg Bowl ,315,195,Total Fat 21.6g,57,Tot. Carb. 16.1g,,Sat. Fat 12.4g,62%,Dietary Fiber 0.8g,3,Trans Fat 0.5g,,Sugars 7.3g,6,Cholesterol 241.6mg,,Protein 15.6g,,Sodium 320.9mg,14,"Milk, Eggs, Soybeans"
Pico de Gallo ,,,Total Fat ,,Tot. Carb. ,,Sat. Fat ,%,Dietary Fiber ,,Trans Fat ,,Sugars ,,Cholesterol ,,Protein ,,Sodium ,,
Refried Beans ,179,19,Total Fat 2.1g,5,Tot. Carb. 31.8g,,Sat. Fat 0g,0%,Dietary Fiber 11g,37,Trans Fat 0g,,Sugars 0g,0,Cholesterol 0mg,,Protein 9.7g,,Sodium 458.3mg,20,Soybeans
Sausage Breakfast Burrito ,827,353,Total Fat 39.1g,103,Tot. Carb. 85.2g,,Sat. Fat 18.2g,91%,Dietary Fiber 14.3g,48,Trans Fat 0.5g,,Sugars 8.1g,6,Cholesterol 286.6mg,,Protein 39.6g,,Sodium 1651.1mg,72,"Milk, Eggs, Wheat, Soybeans, Gluten"
Sausage Breakfast Sandwich ,411,225,Total Fat 24.9g,66,Tot. Carb. 24.3g,,Sat. Fat 8.8g,44%,Dietary Fiber 3.8g,13,Trans Fat 0.5g,,Sugars 5.7g,4,Cholesterol 266.9mg,,Protein 22.5g,,Sodium 664.7mg,29,"Milk, Eggs, Wheat, Soybeans, Gluten"
Sausage Egg Bowl ,383,242,Total Fat 26.9g,71,Tot. Carb. 16.1g,,Sat. Fat 13.9g,69%,Dietary Fiber 0.8g,3,Trans Fat 0.5g,,Sugars 7.3g,6,Cholesterol 271.6mg,,Protein 20.9g,,Sodium 530.9mg,23,"Milk, Eggs, Soybeans"
Scrambled Eggs ,137,99,Total Fat 11g,29,Tot. Carb. 1.2g,,Sat. Fat 2.6g,13%,Dietary Fiber 0g,0,Trans Fat 0.5g,,Sugars 1.1g,1,Cholesterol 214.4mg,,Protein 7.7g,,Sodium 112.2mg,5,Eggs
Tater Tots ,247,141,Total Fat 15.7g,41,Tot. Carb. 29.6g,,Sat. Fat 10g,50%,Dietary Fiber 1.8g,6,Trans Fat 0g,,Sugars 7.4g,6,Cholesterol 0mg,,Protein 1.8g,,Sodium 55.5mg,2,Soybeans
Turkey Sausage Patty (1) ,68,47,Total Fat 5.3g,14,Tot. Carb. 0g,,Sat. Fat 1.5g,8%,Dietary Fiber 0g,0,Trans Fat 0g,,Sugars 0g,0,Cholesterol 30mg,,Protein 5.3g,,Sodium 210mg,9,
Veggie Sausage (1) ,164,104,Total Fat 11.6g,30,Tot. Carb. 6.3g,,Sat. Fat 1.9g,9%,Dietary Fiber 1.8g,6,Trans Fat ,,Sugars 0g,0,Cholesterol 0mg,,Protein 11.8g,,Sodium 566.4mg,25,"Wheat, Soybeans, Gluten"
Veggie Sausage Breakfast Burrito ,890,386,Total Fat 42.8g,113,Tot. Carb. 91.5g,,Sat. Fat 17.8g,89%,Dietary Fiber 16.1g,54,Trans Fat 0.5g,,Sugars 8.1g,6,Cholesterol 241.6mg,,Protein 43.5g,,Sodium 1902.5mg,83,"Milk, Eggs, Wheat, Soybeans, Gluten"
Veggie Sausage Egg Bowl ,479,300,Total Fat 33.2g,87,Tot. Carb. 22.3g,,Sat. Fat 14.2g,71%,Dietary Fiber 2.6g,9,Trans Fat 0.5g,,Sugars 7.3g,6,Cholesterol 241.6mg,,Protein 27.4g,,Sodium 887.2mg,39,"Milk, Eggs, Wheat, Soybeans, Gluten"
Veggie Sausage Sandwich ,507,282,Total Fat 31.2g,82,Tot. Carb. 30.6g,,Sat. Fat 9.1g,46%,Dietary Fiber 5.6g,19,Trans Fat 0.5g,,Sugars 5.7g,4,Cholesterol 236.9mg,,Protein 29.1g,,Sodium 1021.1mg,44,"Milk, Eggs, Wheat, Soybeans, Gluten"
Cheese Pizza ,671,225,Total Fat 25g,66,Tot. Carb. 81.9g,,Sat. Fat 9.4g,47%,Dietary Fiber 2.7g,9,Trans Fat 0g,,Sugars 12.8g,10,Cholesterol 36.5mg,,Protein 30.3g,,Sodium 1998.9mg,87,"Milk, Wheat, Soybeans, Gluten"
Margherita Pizza ,621,204,Total Fat 22.7g,60,Tot. Carb. 80.1g,,Sat. Fat 8.5g,43%,Dietary Fiber 3.1g,10,Trans Fat 0g,,Sugars 12.5g,10,Cholesterol 35.9mg,,Protein 25.4g,,Sodium 1711mg,74,"Milk, Wheat, Soybeans, Gluten"
Pepperoni ,802,343,Total Fat 38.1g,100,Tot. Carb. 81.9g,,Sat. Fat 13.8g,69%,Dietary Fiber 2.7g,9,Trans Fat 0g,,Sugars 12.8g,10,Cholesterol 58.3mg,,Protein 35.7g,,Sodium 2489.6mg,108,"Milk, Wheat, Soybeans, Gluten"
Pesto Chicken Personal Pizza ,885,323,Total Fat 35.8g,94,Tot. Carb. 81.5g,,Sat. Fat 14.2g,71%,Dietary Fiber 4g,13,Trans Fat 0g,,Sugars 11g,8,Cholesterol 112.4mg,,Protein 59.6g,,Sodium 2240.8mg,97,"Milk, Wheat, Soybeans, Gluten"
Potato Bacon Soup ,205,101,Total Fat 11.2g,30,Tot. Carb. 19.1g,,Sat. Fat 5.3g,27%,Dietary Fiber 1.4g,5,Trans Fat 0g,,Sugars 9.1g,7,Cholesterol 32.6mg,,Protein 7.6g,,Sodium 505.7mg,22,"Milk, Wheat, Soybeans, Gluten"
Ahi Poke ,330,51,Total Fat 5.7g,15,Tot. Carb. 33.3g,,Sat. Fat 0.8g,4%,Dietary Fiber 2.7g,9,Trans Fat 0g,,Sugars 4.3g,3,Cholesterol 51mg,,Protein 33.5g,,Sodium 880.9mg,38,"Fish, Crustacean Shellfish, Soybeans, Sesame"
Autumn Grain Salad ,509,318,Total Fat 35.3g,93,Tot. Carb. 212g,,Sat. Fat 5.6g,28%,Dietary Fiber 5.6g,19,Trans Fat 0g,,Sugars 3.2g,2,Cholesterol 0mg,,Protein 11.8g,,Sodium 657.8mg,29,"Wheat, Soybeans, Gluten"
Monte Carlo Salad ,558,321,Total Fat 35.6g,94,Tot. Carb. 45.3g,,Sat. Fat 6.8g,34%,Dietary Fiber 8.4g,28,Trans Fat 0g,,Sugars 6.6g,5,Cholesterol 15.2mg,,Protein 18.1g,,Sodium 1014.3mg,44,"Milk, Soybeans, Sesame"
Spinach & Red Rice Salad ,442,133,Total Fat 14.8g,39,Tot. Carb. 74.3g,,Sat. Fat 0.6g,3%,Dietary Fiber 11.2g,37,Trans Fat 0g,,Sugars 12.1g,9,Cholesterol 0mg,,Protein 8g,,Sodium 417.1mg,18,Soybeans
Tofu Poke ,308,93,Total Fat 10.4g,27,Tot. Carb. 36.2g,,Sat. Fat 1.2g,6%,Dietary Fiber 3g,10,Trans Fat 0g,,Sugars 4.3g,3,Cholesterol 0mg,,Protein 17.1g,,Sodium 838.9mg,36,"Crustacean Shellfish, Soybeans, Sesame"
Mediterranean Lentil Soup ,161,22,Total Fat 2.5g,7,Tot. Carb. 27.2g,,Sat. Fat 0g,0%,Dietary Fiber 0g,0,Trans Fat 0g,,Sugars 3.7g,3,Cholesterol 0mg,,Protein 8.6g,,Sodium 1142.1mg,50,"Wheat, Soybeans, Gluten"
1/4 Avocado ,39,32,Total Fat 3.6g,9,Tot. Carb. 2g,,Sat. Fat 0.5g,2%,Dietary Fiber 1.6g,5,Trans Fat 0g,,Sugars 0.1g,0,Cholesterol 0mg,,Protein 0.5g,,Sodium 1.9mg,0,
Diced Chicken Breast ,76,14,Total Fat 1.5g,4,Tot. Carb. 1.5g,,Sat. Fat 0g,0%,Dietary Fiber 0g,0,Trans Fat 0g,,Sugars 1.5g,1,Cholesterol 45.6mg,,Protein 16.7g,,Sodium 683.4mg,30,
Roasted Garlic Hummus ,135,80,Total Fat 8.9g,23,Tot. Carb. 9.1g,,Sat. Fat 0.7g,4%,Dietary Fiber 1.8g,6,Trans Fat 0g,,Sugars 0.2g,0,Cholesterol 0mg,,Protein 2.7g,,Sodium 208.5mg,9,Sesame
Tuna Salad ,182,88,Total Fat 9.8g,26,Tot. Carb. 3.5g,,Sat. Fat 0.8g,4%,Dietary Fiber 0.1g,0,Trans Fat 0g,,Sugars 1.7g,1,Cholesterol 31.5mg,,Protein 20.6g,,Sodium 356.3mg,15,"Fish, Soybeans"
